Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AMRK,"A-Mark Precious Metals, Inc.",16.15,113557917.5,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AMRC,"Ameresco, Inc.",7.7,350564406.5,n/a,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc
AVD,American Vanguard Corporation,22.9,682049592.5,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AMWD,American Woodmark Corporation,98.85,1606303604,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
USAS,Americas Silver Corporation,4.5014,183677367.3,n/a,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/usas
AMRS,"Amyris, Inc.",3,112819674,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
AU,AngloGold Ashanti Limited,9.5,3879080204,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
AQMS,"Aqua Metals, Inc.",5.37,108288649.1,n/a,2015,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/aqms
RKDA,"Arcadia Biosciences, Inc.",0.3267,13938597.02,n/a,2015,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/rkda
MT,ArcelorMittal,29.84,30424972110,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mt
AGX,"Argan, Inc.",67.65,1051532590,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/agx
AKG,Asanko Gold Inc.,0.978,198974057.9,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
APWC,Asia Pacific Wire & Cable Corporation Limited,2.9659,40987756.29,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/apwc
